,crim,chas,nox,rm,dis,ptratio,black,lstat,medv
243,0.12757000000000002,0,0.428,6.393,7.0355,16.6,374.71,5.19,3.1654750481410856
13,0.62976,0,0.5379999999999999,5.949,4.7075,21.0,396.9,8.26,3.0155349008501706
468,15.5757,0,0.58,5.926,2.9084,20.2,368.74,18.13,2.9496883350525844
77,0.08707000000000001,0,0.43700000000000006,6.14,4.0905,18.7,386.96,10.27,3.0349529867072724
483,2.81838,0,0.532,5.7620000000000005,4.0983,20.2,392.92,10.42,3.0819099697950434
179,0.0578,0,0.488,6.98,2.8289999999999997,17.8,396.9,5.04,3.616308761279101
177,0.05425,0,0.51,6.315,3.3175,16.6,395.6,6.29,3.202746442938317
486,5.69175,0,0.583,6.114,3.5459,20.2,392.68,14.98,2.9496883350525844
200,0.01778,0,0.40299999999999997,7.135,7.6534,17.0,384.3,4.45,3.493472657771326
33,1.15172,0,0.5379999999999999,5.7010000000000005,3.7872,21.0,358.77,18.35,2.5726122302071057
62,0.11027,0,0.45299999999999996,6.456,7.2255,19.7,396.9,6.73,3.100092288878234
122,0.09299,0,0.581,5.961,2.0869,19.1,378.09,17.93,3.0204248861443626
363,4.22239,1,0.77,5.803,1.9047,20.2,353.04,14.64,2.8213788864092133
344,0.030489999999999996,0,0.484,6.874,6.4654,17.6,387.97,4.61,3.4404180948154366
54,0.0136,0,0.41,5.888,7.3197,21.1,396.9,14.8,2.9391619220655967
409,14.4383,0,0.597,6.852,1.4655,20.2,179.36,19.78,3.3141860046725258
239,0.09252,0,0.428,6.606,6.1899,16.6,383.78,7.37,3.1484533605716547
356,8.98296,1,0.77,6.212000000000001,2.1222,20.2,377.73,17.6,2.8791984572980396
16,1.05393,0,0.5379999999999999,5.935,4.4986,21.0,386.85,6.58,3.139832617527748
381,15.8744,0,0.6709999999999999,6.545,1.5192,20.2,396.9,21.08,2.388762789235098
435,11.1604,0,0.74,6.629,2.1247,20.2,109.85,23.27,2.5952547069568657
40,0.033589999999999995,0,0.428,7.024,5.4011,18.3,395.62,1.98,3.5524868292083815
256,0.015380000000000001,0,0.39399999999999996,7.454,6.3361,15.9,386.34,3.11,3.784189633918261
73,0.19539,0,0.413,6.245,5.2873,19.2,377.17,7.54,3.152736022363656
8,0.21124,0,0.524,5.631,6.0821,15.2,386.63,29.93,2.803360380906535
500,0.22438000000000002,0,0.585,6.027,2.4982,19.2,396.9,14.33,2.8213788864092133
428,7.36711,0,0.679,6.193,1.9356,20.2,96.73,21.52,2.3978952727983707
221,0.40771,1,0.507,6.164,3.048,17.4,395.24,21.46,3.077312260546414
488,0.15086,0,0.609,5.454,1.8209,20.1,395.09,18.06,2.7212954278522306
156,2.4466799999999997,0,0.871,5.272,1.7364,14.7,88.63,16.14,2.5726122302071057
123,0.15037999999999999,0,0.581,5.856,1.9444,19.1,370.31,25.41,2.8507065015037334
378,23.6482,0,0.6709999999999999,6.38,1.3861,20.2,396.9,23.69,2.5726122302071057
320,0.1676,0,0.493,6.426,4.5404,19.6,396.9,7.2,3.169685580677429
15,0.62739,0,0.5379999999999999,5.834,4.4986,21.0,395.62,8.47,2.990719731730447
499,0.17783,0,0.585,5.569,2.3999,19.2,395.77,15.1,2.8622008809294686
125,0.16902,0,0.581,5.986000000000001,1.9929,19.1,385.02,14.81,3.0633909220278057
265,0.76162,0,0.647,5.56,1.9865,13.0,392.4,10.45,3.126760535960395
